complaint_id,date,customer_id,product_sku,product_name,order_id,category_hint,complaint_text,has_image,image_path
REC-2024-0001,2024-11-15,CLI-A001,SKU-MESA-007,Mesa Comedor Redonda Cristal y Metal,ORD-XXXX-0001,dano_envio,"¡Es inaceptable! La mesa de cristal llegó completamente destrozada. Hay fragmentos de cristal por toda la caja. Esto es un peligro serio, ¿cómo pueden enviar algo así? Necesito una solución INMEDIATA y que alguien se haga responsable de este riesgo para mi familia.",true,images/REC-2024-0001.png
REC-2024-0002,2024-12-01,CLI-A002,SKU-SOFA-003,Sofá Cama 2 Plazas Azul Eléctrico,ORD-XXXX-0002,defecto_producto,"El sofá cama se pliega solo mientras estoy sentada, ¡es un riesgo de seguridad! Casi me caigo varias veces. El mecanismo de apertura y cierre está defectuoso. Es un artículo caro y no es seguro usarlo. Esto debe solucionarse URGENTE antes de que alguien se haga daño de verdad.",true,images/REC-2024-0002.png
REC-2024-0003,2024-10-22,CLI-A003,SKU-MESA-001,Mesa Comedor Roble Nórdico 180cm,ORD-XXXX-0003,defecto_producto,"La mesa de comedor de roble llegó con una grieta enorme y profunda en una de las patas principales. Parece estructural y la mesa se tambalea peligrosamente. Temo que se pueda romper y caerse todo lo que ponga encima, o peor, que se desplome durante una comida. Es una mesa de 800€, ¡exijo una solución ya!",true,images/REC-2024-0003.png
REC-2024-0004,2024-11-05,CLI-A004,SKU-EXT-001,Mesa Jardín Teca Cuadrada 80cm,ORD-XXXX-0004,retraso_entrega,"Pedí la mesa de jardín para un evento específico que tenía este fin de semana, con la fecha de entrega confirmada. No ha llegado y he tenido que alquilar una mesa de última hora, con un coste de 150€. Esto es un incumplimiento grave que me ha causado un perjuicio económico directo de más de 500€ si contamos el evento. Espero compensación.",false,
REC-2024-0005,2024-12-08,CLI-A005,SKU-ESTAN-005,Estantería Industrial Metal y Madera,ORD-XXXX-0005,defecto_producto,"La estantería industrial es imposible de montar. Los orificios no coinciden, las piezas de metal están mal cortadas y, una vez 'montada' a duras penas, la estructura es extremadamente inestable. Representa un riesgo de caída considerable, especialmente si se carga con libros como se supone que debe hacer. No puedo usarla. Es un peligro.",true,images/REC-2024-0005.png
REC-2024-0006,2024-10-07,CLI-A006,SKU-LAMP-002,Lámpara de Pie Arco Cromo,ORD-XXXX-0006,defecto_producto,"La lámpara de pie llegó defectuosa. Al enchufarla, hizo un cortocircuito y vi chispas salir del cableado en la base. ¡Esto es un riesgo eléctrico grave! Temo que pueda causar un incendio. La he desenchufado inmediatamente y no pienso volver a usarla. Necesito una devolución o reemplazo seguro de inmediato.",true,images/REC-2024-0006.png
REC-2024-0007,2024-11-20,CLI-A007,SKU-SILLA-001,Silla Comedor Eames Replica Blanca,ORD-XXXX-0007,dano_envio,"El transportista (MRW) dejó el paquete de la silla en la calle, LITERALMENTE. Lo encontré mojado por la lluvia y con la caja deshecha. La silla está manchada y húmeda. Es la segunda vez que MRW hace esto. ¿Quién se responsabiliza de esto? Estoy harto de su servicio.",true,images/REC-2024-0007.png
REC-2024-0008,2024-10-14,CLI-A008,SKU-ESTAN-003,Estantería Modular Cubos Negro,ORD-XXXX-0008,retraso_entrega,"El pedido fue marcado como 'entregado' por MRW, pero no he recibido nada. Revisé con los vecinos y no hay rastro. MRW me dice que lo dejaron 'en un lugar seguro' pero no especifican. Estoy convencido de que se lo robaron del portal. Es la tercera vez que MRW me da problemas. ¡Quiero mi estantería o mi dinero!",false,
REC-2024-0009,2024-11-03,CLI-A009,SKU-MESA-003,Mesa Auxiliar Redonda Cristal,ORD-XXXX-0009,dano_envio,"MRW de nuevo... El repartidor tiró el paquete de la mesa auxiliar en la puerta de mi vecino sin llamar ni dejar aviso. La mesa tiene un golpe en el cristal porque la caja estaba abierta. Esto ya es el colmo. Necesito una solución, he pagado por un producto en perfecto estado, no por el que MRW me entrega.",true,images/REC-2024-0009.png
REC-2024-0010,2024-12-10,CLI-A010,SKU-SILLA-005,Sillón Relax Individual Tela,ORD-XXXX-0010,retraso_entrega,Mi sillón relax lleva una semana de retraso. MRW sigue posponiendo la entrega con excusas. 'Ausente' cuando he estado en casa. 'Dirección incorrecta' cuando está bien. Ya no sé qué hacer con ellos. Su servicio es un desastre y no tengo mi sillón.,false,
REC-2024-0011,2024-10-09,CLI-A011,SKU-ESTAN-001,Estantería BILLY-SKL Blanca 80cm,ORD-XXXX-0011,calidad_material,"Compré la estantería BILLY-SKL blanca y a los pocos días de poner libros, las baldas ya se están combando. Apenas tienen peso y ya se hunden en el centro. La calidad del material es pésima, no está diseñada para el uso de una estantería. No es lo que esperaba de un producto así.",true,images/REC-2024-0011.png
REC-2024-0012,2024-11-25,CLI-A012,SKU-ESTAN-002,Estantería BILLY-SKL Roble 40cm,ORD-XXXX-0012,calidad_material,¡Otra vez con las estanterías BILLY-SKL! Ya me pasó con una blanca y ahora con la de roble de 40cm. Las baldas se combaron en menos de un mes. Parece que es un problema sistemático con este modelo. No entiendo cómo venden algo con tan poca resistencia. Necesito una solución definitiva.,true,images/REC-2024-0012.png
REC-2024-0013,2024-10-30,CLI-A013,SKU-ESTAN-007,Estantería BILLY-SKL Pino 60cm,ORD-XXXX-0013,defecto_producto,"Una de las baldas de mi nueva estantería BILLY-SKL de pino ya venía curvada de fábrica. Ni siquiera la he montado y ya está defectuosa. Se nota que es un fallo de producción y no por el peso. Me parece increíble que pasen controles de calidad con estas baldas. Quiero una balda nueva, por favor.",true,images/REC-2024-0013.png
REC-2024-0014,2024-11-18,CLI-A014,SKU-LAMP-001,Lámpara Colgante Industrial Negra,ORD-XXXX-0014,dano_envio,"La lámpara colgante llegó con el globo de cristal totalmente roto. Al abrir la caja, encontré trozos de cristal por todas partes. El embalaje era una simple caja de cartón sin apenas protección. No es de extrañar que llegara así. Es un desastre y estoy muy enfadada. ¡Tienen que mejorar su embalaje!",true,images/REC-2024-0014.png
